Plasmid	Genome ID	Accession	PATRIC ID	Feature ID	Annotation	Feature Type	Start	End	Length	Strand	PATRIC genus-specific families (PLfams)	PATRIC cross-genus families (PGfams)	AA Length	Product	GO
pVA32-7	573.39889	573.39889.con.0001	fig|573.39889.peg.4	PATRIC.573.39889.573.39889.con.0001.CDS.1282.2790.fwd	PATRIC	CDS	1282	2790	1509	+	PLF_570_00009544	PGF_08225224	502	hypothetical protein	
pVA32-7	573.39889	573.39889.con.0001	fig|573.39889.peg.5	PATRIC.573.39889.573.39889.con.0001.CDS.2891.3010.fwd	PATRIC	CDS	2891	3010	120	+			39	hypothetical protein	
pVA32-7	573.39889	573.39889.con.0001	fig|573.39889.peg.6	PATRIC.573.39889.573.39889.con.0001.CDS.3080.3226.fwd	PATRIC	CDS	3080	3226	147	+	PLF_570_00106821		48	hypothetical protein	
pVA32-7	573.39889	573.39889.con.0001	fig|573.39889.peg.7	PATRIC.573.39889.573.39889.con.0001.CDS.3228.3356.rev	PATRIC	CDS	3228	3356	129	-	PLF_570_00012301	PGF_08225224	42	hypothetical protein	
pVA32-7	573.39889	573.39889.con.0001	fig|573.39889.peg.1	PATRIC.573.39889.573.39889.con.0001.CDS.336.578.rev	PATRIC	CDS	336	578	243	-		PGF_08225224	80	hypothetical protein	
pVA32-7	573.39889	573.39889.con.0001	fig|573.39889.peg.8	PATRIC.573.39889.573.39889.con.0001.CDS.3519.3743.fwd	PATRIC	CDS	3519	3743	225	+	PLF_570_00014278	PGF_00047450	74	RelB/StbD replicon stabilization protein (antitoxin to RelE/StbE)	
pVA32-7	573.39889	573.39889.con.0001	fig|573.39889.peg.9	PATRIC.573.39889.573.39889.con.0001.CDS.3727.3993.fwd	PATRIC	CDS	3727	3993	267	+	PLF_570_00011487	PGF_10542814	88	mRNA interferase RelE	
pVA32-7	573.39889	573.39889.con.0001	fig|573.39889.peg.10	PATRIC.573.39889.573.39889.con.0001.CDS.4050.4295.rev	PATRIC	CDS	4050	4295	246	-	PLF_570_00009375	PGF_00770817	81	hypothetical protein	
pVA32-7	573.39889	573.39889.con.0001	fig|573.39889.peg.11	PATRIC.573.39889.573.39889.con.0001.CDS.4622.6310.fwd	PATRIC	CDS	4622	6310	1689	+	PLF_570_00035681	PGF_08225224	562	hypothetical protein	
pVA32-7	573.39889	573.39889.con.0001	fig|573.39889.peg.12	PATRIC.573.39889.573.39889.con.0001.CDS.6320.6577.fwd	PATRIC	CDS	6320	6577	258	+	PLF_570_00004988	PGF_00072513	85	colicin immunity protein	
