Plasmid	Evidence	Property	Source	Genome Name	PATRIC ID	Source ID	Source Organism	Gene	Product	Function	Classification	PubMed	Subject Coverage	Query Coverage	Identity	E-value
pVA32-7	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA32-7	fig|573.39889.peg.12	P02984	Escherichia coli		colicin immunity protein	the colicin immunity protein (colip) family.	8.B.24.4.1		100	100	81	4e-38
pVA32-7	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-7	fig|573.39889.peg.7	YP_009062819.1	Enterobacter cloacae	AAC(6')-Ib8	hypothetical protein		"aminoglycoside resistance gene,antibiotic inactivation enzyme"		15	80	88	1e-10
pVA32-58	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.42	Q46702	Escherichia coli	traN	hypothetical protein	Lauryl Dimethylamine-N-Oxide	Drug target		100	92	97	1e-20
pVA32-58	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.9	ACD56151.1	Escherichia coli	arr-3	rifampin ADP-ribosyl transferase		"antibiotic inactivation enzyme,rifampin resistance gene"		100	100	100	3e-86
pVA32-58	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.20	WP_000259031.1	Bacteria		Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	MULTISPECIES: sulfonamide-resistant dihydropteroate synthase Sul1			100	100	100	1e-156
pVA32-58	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.13	P0C002	Escherichia coli	sulI	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	Sulfacetamide	Drug target		100	100	100	1e-156
pVA32-58	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.49	AAK70220.1	Klebsiella pneumoniae	KPC-2	"Class A beta-lactamase (EC 3.5.2.6) => KPC family, carbapenem-hydrolyzing"		"antibiotic inactivation enzyme,beta-lactam resistance gene"		100	100	100	1e-167
pVA32-58	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.20	AEJ33969.1	Vibrio fluvialis	sul1	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein		"antibiotic target replacement protein,sulfonamide resistance gene"		100	100	100	1e-156
pVA32-58	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.19	WP_000679427.1	Bacteria		"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	MULTISPECIES: quaternary ammonium compound efflux SMR transporter QacE delta 1			100	100	100	6e-60
pVA32-58	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA32-58	fig|573.39888.peg.12	WP_000679427.1	Bacteria		"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	MULTISPECIES: quaternary ammonium compound efflux SMR transporter QacE delta 1			100	100	100	6e-60
