Plasmid	Identifier	Identity	Query/TemplateLength	Contig	Position	Note	AccessionNumber
pVA04-6	-	-	-	-	-	-	-
pVA04-46	IncX3	100	374/374	pVA04-46(46.161bp)	43568..43941	-	JN247852
pVA04-58	IncR	100	251/251	pVA04-58(57.589bp)	10431..10681	-	DQ449578
pVA04-196	IncFIB(K)	98.93	560/560	pVA04-196(195.694bp)	300..859	-	JN233704
pVA04-196	IncFII(K)	95.95	148/148	pVA04-196(195.694bp)	115218..115365	-	CP000648
pVA32-7	Col440II	97.52	282/282	pVA32-7(6871bp)	951..1232	-	CP023921
pVA32-58	IncN	99.81	514/514	pVA32-58(58.118bp)	39..552	-	AY046276
pVA32-74	-	-	-	-	-	-	-
pVA32-104	IncFII(Yp)	95.48	221/230	pVA32-104(104.727bp)	104508..104727	-	CP000670
pVA32-200	Col440I	97.37	114/114	pVA32-200(200.019bp)	103295..103408	-	CP023920
pVA32-200	IncFIB(K)	100	560/560	pVA32-200(200.019bp)	300..859	-	JN233704
pVA32-200	IncFII(K)	100	148/148	pVA32-200(200.019bp)	129769..129916	-	CP000648
pVA126-12	-	-	-	-	-	-	-
pVA126-42	IncR	100	251/251	pVA126-42(41.608bp)	31711..31961	-	DQ449578
pVA126-68	IncX3	100	374/374	pVA126-68(68.131bp)	38424..38797	-	JN247852
pVA126-175	IncFIB(K)	98.93	560/560	pVA126-175(175.202bp)	300..859	-	JN233704
pVA126-175	IncFII(K)	95.95	148/148	pVA126-175(175.202bp)	94941..95088	-	CP000648
PHVA126-339	-	-	-	-	-	-	-
pVA172-67	-	-	-	-	-	-	-
pVA172-90	IncN	99.81	514/514	pVA172-90(90.276bp)	39..552	-	AY046276
pVA172-90	IncR	100	251/251	pVA172-90(90.276bp)	49594..49844	-	DQ449578
pVA564-33	IncX4	100	374/374	pVA564-33(33.224bp)	27318..27691	-	CP002895
pVA564-37	IncR	100	251/251	pVA564-37(37.145bp)	33379..33629	-	DQ449578
pVA564-63	-	-	-	-	-	-	-
pVA564-179	IncFIB(K)	98.93	560/560	pVA564-179(178.685bp)	300..859	-	JN233704
pVA564-179	IncFII(K)	95.95	148/148	pVA564-179(178.685bp)	99200..99347	-	CP000648
pVA569-6	-	-	-	-	-	-	-
pVA569-7	Col440II	97.52	282/282	pVA569-7(6871bp)	2903..3184	-	CP023921
pVA569-35	IncR	100	251/251	pVA569-35(35.376bp)	14179..14429	-	DQ449578
pVA569-78	IncFIA	99.48	388/388	pVA569-78(77.813bp)	69578..69964	-	AP001918
pVA569-78	IncFIB(AP001918)	98.51	603/682	pVA569-78(77.813bp)	1..603	-	AP001918
pVA569-78	IncFII	95.79	261/261	pVA569-78(77.813bp)	37970..38230	-	AY458016
pVA569-78	IncFII	95.42	262/261	pVA569-78(77.813bp)	50938..51199	-	AY458016
pVA591-7	-	-	-	-	-	-	-
pVA591-9	-	-	-	-	-	-	-
pVA591-46	IncX3	100	374/374	pVA591-46(46.161bp)	4395..4768	-	JN247852
pVA591-160	IncFIB(K)	100	560/560	pVA591-160(160.137bp)	300..859	-	JN233704
pVA681-5	-	-	-	-	-	-	-
pVA681-14	-	-	-	-	-	-	-
pVA681-36	-	-	-	-	-	-	-
pVA681-58	IncN	99.81	514/514	pVA681-58(58.125bp)	39..552	-	AY046276
pVA681-191	IncFIB(K)	100	560/560	pVA681-191(190.540bp)	300..859	-	JN233704
pVA681-191	IncFII(K)	100	148/148	pVA681-191(190.540bp)	120290..120437	-	CP000648
pVA684-2	-	-	-	-	-	-	-
pVA684-6	-	-	-	-	-	-	-
pVA684-8	-	-	-	-	-	-	-
pVA684-49	IncX3	100	374/374	pVA684-49(48.523bp)	36396..36769	-	JN247852
pVA684-146	IncFIB(K)	98.93	560/560	pVA684-146(145.622bp)	300..859	-	JN233704
pVA684-146	IncFII(K)	100	148/148	pVA684-146(145.622bp)	86221..86368	-	CP000648
pVA684-388	IncR	100	251/251	pVA684-388(388.130bp)	230950..231200	-	DQ449578
pVA833-7	-	-	-	-	-	-	-
pVA833-92	IncM2	100	595/664	pVA833-92(91.772bp)	91178..91772	-	AF550415
pVA833-165	IncC	100	417/417	pVA833-165(164.596bp)	45..461	-	JN157804
pVA833-176k	IncFIB(K)	98.93	560/560	pVA833_176k(176.026bp)	300..859	-	JN233704
pVA833-176k	IncFII(K)	95.95	148/148	pVA833_176k(176.026bp)	96326..96473	-	CP000648
