Plasmid	IS Name	Start	End	Identity	E-value
cVA04	ISplge3(IS3)	197674	199075	92%	0
cVA04	ISKpn28(IS481)	200921	202016	100%	0
cVA04	ISSen4(IS3)	1898614	1899739	97%	0
cVA04	IS2(IS3)	1904713	1905263	80%	5.00E-51
cVA04	ISEc33(IS630)	1928829	1929981	99%	0
cVA04	ISSpu2(IS630)	1928839	1929971	82%	0
cVA04	IS5(IS5)	2422932	2424126	99%	0
cVA04	ISCfr13(IS110)	4325586	4325749	90%	2.00E-44
cVA04	ISKpn54(IS3)	4797498	4798691	94%	0
cVA04	ISKpn26(IS5)	4839157	4840352	99%	0
cVA04	IS911(IS3)	4983735	4984155	99%	0
cVA04	IS1F(IS1)	4984220	4984987	99%	0
cVA04	IS21(IS21)	5004761	5004927	88%	4.00E-39
cVA04	ISKpn11(IS3)	5017656	5019100	99%	0
cVA04	IS1R(IS1)	5442814	5443581	100%	0
cVA126	ISPlge3(IS3)	197674	199075	92%	0
cVA126	ISKpn28(IS481)	200921	202016	100%	0
cVA126	ISSen4(IS3)	1559820	1560945	97%	0
cVA126	IS2(IS3)	1565919	1566469	80%	4E-51
cVA126	ISEc33(IS630)	1590035	1591187	99%	0
cVA126	ISCfr13(IS110)	3988575	3988738	90%	2E-44
cVA126	ISKpn54(IS3)	4460720	4461913	94%	0
cVA126	ISKpn26(IS5)	4502379	4503574	99%	0
cVA126	IS911(IS3)	4648867	4649287	99%	0
cVA126	IS1F(IS1)	4649352	4650119	99%	0
cVA126	IS21(IS21)	4669893	4670059	88%	4E-39
cVA126	ISKpn11(IS3)	4682788	4684232	99%	0
cVA126	IS1R(IS1)	5107940	5108707	100%	0
cVA172	ISPlge3(IS3)	197553	198954	92%	0
cVA172	ISKpn28(IS481)	200800	201895	100%	0
cVA172	ISSen4(IS3)	1813200	1814325	97%	0
cVA172	IS26(IS6)	2451802	2452621	100%	0
cVA172	IS1X3(IS1)	2539196	2539961	93%	0
cVA172	ISCfr13(IS110)	4125938	4126101	90%	2.00E-44
cVA172	ISKpn26(IS5)	4631064	4632259	99%	0
cVA172	ISEc52(IS3)	4774865	4775285	94%	2.00E-176
cVA172	IS1F(IS1)	4775350	4776117	99%	0
cVA172	IS21(IS21)	4795891	4796057	88%	4.00E-39
cVA172	ISKpn1(IS3)	4809112	4810556	99%	0
cVA172	IS1R(IS1)	5137170	5137937	100%	0
cVA32	ISKpn28(IS481)	197648	198743	100%	0
cVA32	IS5075(IS110)	316415	317741	99%	0
cVA32	ISkpn54(IS3)	740748	740935	90%	2.00E-56
cVA32	ISKpn1(IS3)	1626119	1627563	99%	0
cVA32	ISKpn14(IS1)	1719985	1720752	100%	0
cVA32	ISEc33(IS630)	1733546	1734698	89%	0
cVA32	IS1X4(IS1)	1745740	1746507	98%	0
